,a_x_mean,a_y_mean,a_z_mean,a_x_median,a_y_median,a_z_median,a_x_max,a_y_max,a_z_max,a_x_min,a_y_min,a_z_min,a_x_diff,a_y_diff,a_z_diff,g_x_mean,g_y_mean,g_z_mean,g_x_median,g_y_median,g_z_median,g_x_max,g_y_max,g_z_max,g_x_min,g_y_min,g_z_min,g_x_diff,g_y_diff,g_z_diff,o_x_mean,o_y_mean,o_z_mean,o_x_median,o_y_median,o_z_median,o_x_max,o_y_max,o_z_max,o_x_min,o_y_min,o_z_min,o_x_diff,o_y_diff,o_z_diff,fallen
0,-4.630278884462146,-2.0027888446215147,6.558366533864536,-1.5,-2.25,8.8,36.1,21.9,39.2,-38.8,-33.2,-35.9,74.9,55.1,75.1,-0.14422310756972098,-0.0059760956175298535,0.0768924302788844,0.0,-0.0,-0.0,3.8,5.4,4.0,-6.6,-9.9,-7.4,10.399999999999999,15.3,11.4,-0.19840637450198906,0.20657370517928228,0.24701195219123454,-0.1,-0.0,0.3,0.1,0.8,0.5,-0.5,-0.0,-0.3,0.6,0.8,0.8,1
1,-5.221052631578938,-2.285052631578947,5.308631578947368,-5.8,-3.5,5.0,39.2,19.5,39.2,-38.8,-24.5,-39.2,78.0,44.0,78.4,0.01536842105263155,-0.04989473684210529,0.23599999999999996,0.0,-0.0,-0.0,8.8,5.9,7.9,-6.7,-4.0,-5.8,15.5,9.9,13.7,-0.10505263157894827,0.34189473684210325,-0.19789473684210587,-0.2,0.4,-0.1,0.3,0.6,-0.0,-0.4,-0.1,-0.9,0.7,0.7,0.9,1
2,-3.3556701030927814,-2.800257731958764,5.467010309278349,-0.8,-3.55,8.5,34.7,26.6,39.2,-38.7,-19.6,-12.7,73.4,46.2,51.900000000000006,-0.07777777777777772,-0.046253229974160176,0.07028423772609817,0.0,0.0,0.0,7.8,4.4,4.6,-7.7,-11.0,-5.8,15.5,15.4,10.399999999999999,0.1675257731958766,0.2654639175257743,-0.8538659793814435,0.0,0.2,-1.0,0.7,0.6,-0.4,-0.1,-0.1,-1.0,0.7999999999999999,0.7,0.6,1
3,-3.6212349397590327,-1.2941265060240943,5.568524096385535,-1.8,-2.0,6.9,24.0,22.6,39.2,-38.9,-39.2,-9.9,62.9,61.800000000000004,49.1,-0.004367469879518116,-0.00873493975903607,0.06445783132530114,0.0,0.0,0.0,12.0,8.9,7.1,-7.9,-14.8,-6.8,19.9,23.700000000000003,13.899999999999999,0.06630934150076537,0.20107197549770078,-0.7084226646248013,0.1,0.3,-0.7,0.6,0.7,-0.2,-0.3,-0.5,-1.0,0.8999999999999999,1.2,0.8,1
4,-8.319649805447444,-2.242996108949413,3.627821011673158,-8.7,-1.7,4.4,39.2,33.4,39.2,-38.8,-23.7,-38.7,78.0,57.099999999999994,77.9,-0.09262135922330095,-0.028155339805825227,0.10252427184466018,0.0,0.0,0.0,4.5,4.5,3.8,-5.4,-4.8,-2.9,9.9,9.3,6.699999999999999,0.47626459143968947,0.19552529182879105,-0.7881322957198468,0.5,0.1,-0.8,0.7,0.5,-0.6,0.1,-0.2,-0.9,0.6,0.7,0.30000000000000004,1
5,-4.515311909262735,-1.3981096408317557,6.342344045368616,-1.3,-2.7,8.7,39.2,37.8,39.2,-38.9,-31.8,-39.2,78.1,69.6,78.4,-0.08085106382978728,-0.047775628626692435,0.005222437137330828,-0.0,-0.0,0.0,3.8,8.1,2.9,-9.5,-9.8,-11.2,13.3,17.9,14.1,-0.12283018867924525,-0.24735849056603815,0.7833962264150915,0.0,-0.2,0.9,0.2,0.2,1.0,-0.5,-0.6,0.3,0.7,0.8,0.7,1
6,-3.4492569002123146,1.1072186836518045,6.696815286624205,-1.3,2.2,8.5,22.2,39.0,39.2,-38.9,-24.3,-21.3,61.099999999999994,63.3,60.5,-0.11252653927813155,-0.07112526539278126,0.03269639065817409,0.0,0.0,-0.0,3.2,3.7,4.9,-5.8,-8.7,-3.2,9.0,12.399999999999999,8.100000000000001,0.1651804670912942,0.17622080679405425,-0.45010615711252905,0.2,0.1,-0.5,0.4,0.6,0.1,-0.0,-0.2,-1.0,0.4,0.8,1.1,1
7,-4.028058727569293,-2.64029363784667,5.718270799347451,-1.6,-4.4,8.6,39.2,38.9,39.2,-38.7,-39.2,-33.7,77.9,78.1,72.9,-0.05595432300163139,-0.06769983686786298,0.04812398042414341,-0.0,0.0,0.0,5.1,1.8,4.1,-7.6,-5.7,-5.3,12.7,7.5,9.399999999999999,0.29559543230016144,-0.046329526916802165,-0.46753670473083264,0.2,-0.0,-0.6,0.7,0.2,0.3,-0.3,-0.3,-0.6,1.0,0.5,0.8999999999999999,1
8,-3.0925663716814205,-2.8168141592920435,6.894690265486723,-0.8,-3.6,8.5,34.2,14.4,39.2,-38.9,-31.4,-10.5,73.1,45.8,49.7,-0.030619469026548773,-0.014513274336283072,0.01752212389380526,0.0,-0.0,0.0,3.0,6.0,2.6,-4.4,-7.6,-6.0,7.4,13.6,8.6,-0.1968141592920349,0.18513274336283028,-0.038407079646017764,-0.3,0.1,-0.1,0.1,0.7,0.2,-0.4,-0.1,-0.3,0.5,0.7999999999999999,0.5,1
9,-5.438114754098365,0.08586065573770502,5.6479508196721255,-3.5,0.75,8.4,16.4,38.9,39.2,-38.9,-19.6,-38.8,55.3,58.5,78.0,-0.2381147540983607,0.017827868852459086,-0.08627049180327871,0.0,-0.0,0.0,12.1,4.3,6.2,-14.7,-6.6,-6.9,26.799999999999997,10.899999999999999,13.100000000000001,0.3133470225872665,-0.009240246406570845,-0.7334702258726928,0.2,-0.0,-0.7,0.7,0.2,-0.3,-0.1,-0.3,-1.0,0.7999999999999999,0.5,0.7,1
